epoch,train_err,train_acc,test_err,test_acc
1,0.131013,67.216250,0.908453,70.756250
2,0.108910,72.109750,0.863643,72.142500
3,0.102808,73.580250,0.844697,72.656250
4,0.099058,74.456750,0.841794,72.890000
5,0.096366,75.120750,0.835700,72.970000
6,0.094241,75.651000,0.841194,73.048750
7,0.092466,76.083750,0.839210,73.161250
8,0.090895,76.467500,0.856703,72.891250
9,0.089528,76.901750,0.852106,72.960000
10,0.088230,77.196000,0.869446,72.850000
11,0.087073,77.493250,0.866492,72.783750
12,0.086060,77.811500,0.880147,72.768750
13,0.084978,78.087000,0.878830,72.487500
14,0.084120,78.327500,0.895580,72.393750
15,0.083214,78.580250,0.903572,72.147500
16,0.082413,78.810000,0.906712,72.311250
17,0.081626,78.955750,0.910862,72.220000
18,0.080919,79.159750,0.922964,72.123750
19,0.080214,79.348000,0.931827,71.891250
20,0.079479,79.511500,0.943967,71.727500
21,0.078803,79.754500,0.953737,71.875000
22,0.078347,79.842000,0.956387,71.628750
23,0.077657,80.040000,0.960918,71.700000
24,0.077099,80.159000,0.976433,71.548750
25,0.076561,80.278500,0.981577,71.336250
26,0.075985,80.436500,0.988150,71.330000
27,0.075454,80.625250,0.994890,71.355000
28,0.075025,80.719000,1.009214,71.290000
29,0.074570,80.857750,1.014525,71.108750
30,0.074036,80.985250,1.028043,70.998750
31,0.073620,81.060000,1.045446,70.956250
32,0.073184,81.219000,1.036547,70.925000
33,0.072837,81.318500,1.050855,70.726250
34,0.072385,81.419750,1.069859,70.745000
35,0.072039,81.497000,1.052144,70.700000
36,0.071585,81.635750,1.068262,70.596250
37,0.071306,81.659500,1.078478,70.625000
38,0.070893,81.815750,1.086136,70.555000
39,0.070591,81.877500,1.094779,70.493750
