epoch,train_err,train_acc,pseudoloss,boost_acc,boost_time,total_time
1,1.233372,63.290257,0.180321,65.862444,3.117349,18.663057
2,1.152524,64.365056,0.222302,65.277333,3.076718,46.176094
3,1.121881,65.248714,0.216824,65.986000,3.064521,64.677442
4,1.104838,65.777791,0.213664,66.158889,3.114109,90.758421
5,1.091352,66.306630,0.211203,66.538222,3.111750,116.898200
6,1.081955,66.548473,0.208906,66.966222,3.107618,142.758362
7,1.075595,66.609240,0.209485,66.811778,3.109855,168.934482
8,1.072572,66.661595,0.209373,67.423778,3.111956,187.238724
9,1.065734,66.877344,0.208052,67.165111,3.120128,213.412075
10,1.063888,66.881368,0.207448,67.244000,3.106101,231.724743
11,1.057945,67.172655,0.205928,67.625556,3.113793,250.063129
12,1.058452,67.089576,0.207055,67.588000,3.142540,276.594484
13,1.058556,67.188098,0.206459,67.249778,3.112396,294.894917
14,1.056576,67.180831,0.206139,66.487111,3.124047,313.167784
15,1.056279,67.213992,0.204917,67.814222,3.120379,331.478916
16,1.054060,67.287840,0.206389,67.910222,3.098074,358.094631
17,1.050631,67.325760,0.205594,67.797333,3.118967,384.732311
18,1.045234,67.599462,0.204552,67.822222,3.107695,403.027577
19,1.048931,67.413554,0.204991,67.892667,3.104199,421.339072
20,1.046799,67.472844,0.205219,67.520000,3.128012,439.698137
