epoch,train_err,train_acc,test_err,test_acc,boost_acc,boost_time,total_time
1,1.151292,64.261778,1.004117,67.951111,67.988889,0.560245,4.443955
2,0.981068,68.753333,0.963010,69.295556,69.173333,0.989991,30.524877
3,0.947354,69.661778,0.940914,69.764444,69.940000,1.409547,69.649701
4,0.929666,70.290222,0.922751,70.521111,70.702222,1.789387,121.623248
5,0.917669,70.598667,0.913368,70.528889,70.768889,2.125920,186.348629
6,0.909733,70.807556,0.907636,70.696667,71.266667,2.540183,262.334519
7,0.903380,70.979111,0.905295,70.984444,71.082222,2.904632,350.000655
8,0.899710,71.221333,0.893077,71.435556,71.268889,3.293129,450.914002
9,0.894836,71.136444,0.892984,71.404444,71.482222,3.769841,563.831763
10,0.889367,71.450444,0.895417,71.308889,71.555556,4.086467,688.055878
11,0.887877,71.513556,0.884819,71.703333,71.571111,4.091756,824.327482
12,0.885241,71.581556,0.887476,71.762222,71.893333,4.080320,961.216386
13,0.882093,71.680222,0.886012,71.606667,71.975556,4.099649,1099.251630
14,0.880578,71.704222,0.876379,71.956667,71.797778,4.110699,1235.658583
15,0.877490,71.835111,0.879796,71.650000,71.735556,4.106603,1374.026387
16,0.875373,71.883556,0.883737,71.757778,72.004444,4.092288,1510.314413
17,0.874460,71.880889,0.869547,72.151111,71.971111,4.102888,1646.222105
18,0.875120,71.936889,0.866100,71.991111,71.915556,4.108287,1784.609037
19,0.873066,71.964000,0.870052,71.897778,72.095556,4.097253,1920.640261
20,0.871533,71.902222,0.869120,72.003333,72.100000,4.095024,2057.637857
21,0.871873,71.993111,0.872182,72.096667,72.046667,4.465932,2194.469658
22,0.870408,71.999111,0.868195,72.083333,72.273333,4.104624,2330.922636
23,0.869510,72.020000,0.868826,72.023333,72.393333,4.112320,2468.208538
